,Age,WorkClass,Fnlwgt,Education,Education_num,Marital_staus,Occupation,Relationship,Race,Capital_gain,Capital_loss,Hours_per_week,Native_country,Income_ >50K,Sex_ Male
0,22,6,2671,9,12,4,0,1,4,25,0,39,38,0,1
1,33,5,2926,9,12,2,3,0,4,0,0,12,38,0,1
2,21,3,14086,11,8,0,5,1,4,0,0,39,38,0,1
3,36,3,15336,1,6,2,5,0,2,0,0,39,38,0,1
4,11,3,19355,9,12,2,9,5,2,0,0,39,4,0,0
5,20,3,17700,12,13,2,3,5,4,0,0,39,38,0,0
6,32,3,8536,6,4,3,7,1,2,0,0,15,22,0,0
7,35,5,13620,11,8,2,3,0,4,0,0,44,38,1,1
8,14,3,1318,12,13,4,9,1,4,105,0,49,38,1,0
9,25,3,8460,9,12,2,3,0,4,79,0,39,38,1,1
10,20,3,17530,15,9,2,3,0,2,0,0,76,38,1,1
11,13,6,7077,9,12,2,9,0,1,0,0,39,18,1,1
12,6,3,5772,9,12,4,0,3,4,0,0,29,38,0,0
13,15,3,13217,7,11,4,11,1,2,0,0,49,38,0,1
14,23,3,5722,8,10,2,2,0,1,0,0,39,38,1,1
15,17,3,15963,5,3,2,13,0,0,0,0,44,25,0,1
16,8,5,10163,11,8,4,4,3,4,0,0,34,38,0,1
17,15,3,11257,11,8,4,6,4,4,0,0,39,38,0,1
18,21,3,314,1,6,2,11,0,4,0,0,49,38,0,1
19,26,5,17974,12,13,0,3,4,4,0,0,44,38,1,0
20,23,3,12044,10,15,2,9,0,4,0,0,59,38,1,1
21,37,3,18302,11,8,5,7,4,2,0,0,19,38,0,0
22,18,0,2636,6,4,2,4,0,2,0,0,39,38,0,1
23,26,3,5306,1,6,2,13,0,4,0,54,39,38,0,1
24,42,3,4613,11,8,0,12,4,4,0,0,39,38,0,0
25,39,1,14178,9,12,2,12,0,4,0,0,39,38,1,1
26,2,3,9263,11,8,4,2,3,4,0,0,39,38,0,1
27,37,3,10524,15,9,2,7,0,1,0,0,59,34,1,1
28,22,3,20071,11,8,0,3,1,4,0,0,76,38,0,1
29,32,3,12029,11,8,2,2,0,4,0,0,39,38,0,1
30,6,1,11717,7,11,4,10,1,4,0,0,51,38,0,1
31,3,3,16899,15,9,4,11,3,2,0,0,43,38,0,1
32,28,3,20416,9,12,0,3,3,4,0,15,39,38,0,1
33,13,0,1983,15,9,2,0,3,4,0,0,39,38,0,1
34,5,6,18593,15,9,2,7,0,2,0,0,14,38,0,1
35,31,3,15792,1,6,4,6,4,4,0,0,39,32,0,1
36,4,3,12418,15,9,4,6,3,4,0,0,39,38,0,1
37,2,3,21430,11,8,1,0,5,4,0,0,24,38,0,0
38,14,3,2977,15,9,2,11,0,4,0,0,37,38,1,1
39,31,5,16880,7,11,2,9,0,4,0,0,39,38,0,1
40,14,3,21343,6,4,2,6,0,4,0,0,42,38,0,1
