Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Target
25/10/2009,03:54:00,0.414,0.226,242.53,1.8,2.0
9/1/2008,19:47:00,2.27,0.168,235.74,9.6,17.0
22/10/2009,10:26:00,2.04,0.272,245.43,8.4,29.0
10/8/2010,03:19:00,0.256,0.128,244.03,1.2,1.0
2/7/2007,23:25:00,0.404,0.24,244.42,2.0,1.0
15/7/2008,14:47:00,0.968,0.32,238.48,4.2,11.0
13/4/2007,13:05:00,0.386,0.216,240.35,1.8,0.0
28/1/2010,06:35:00,0.712,0.05,245.23,2.8,1.0
25/1/2010,18:48:00,1.668,0.054,240.15,6.8,19.0
14/4/2010,05:48:00,0.238,0.0,241.9,1.0,0.0
6/12/2009,06:31:00,0.44,0.27,243.47,2.0,1.0
30/8/2010,00:12:00,0.434,0.118,243.58,1.8,1.0
28/12/2007,06:44:00,0.424,0.288,246.38,2.0,0.0
1/11/2010,14:43:00,1.382,0.0,245.92,5.6,19.0
13/4/2008,07:50:00,0.748,0.0,241.45,3.2,1.0
25/8/2010,08:46:00,1.312,0.0,241.1,5.4,20.0
25/5/2010,05:55:00,0.31,0.15,243.04,1.4,1.0
25/1/2009,23:04:00,1.556,0.104,244.3,6.4,18.0
19/8/2009,00:34:00,0.462,0.23,242.19,2.0,2.0
11/4/2010,08:17:00,0.318,0.0,239.69,1.4,0.0
21/4/2010,03:31:00,0.424,0.214,243.08,1.8,0.0
6/1/2009,00:45:00,0.27,0.0,244.29,1.2,0.0
3/7/2009,19:31:00,1.486,0.342,243.64,6.2,19.0
16/6/2009,01:38:00,0.23,0.124,243.74,1.2,3.0
20/11/2009,05:01:00,0.242,0.0,243.49,1.0,1.0
3/8/2009,13:36:00,0.238,0.14,242.86,1.0,1.0
29/9/2008,19:37:00,0.666,0.124,237.29,2.8,1.0
21/4/2008,02:37:00,0.332,0.1,244.32,1.4,2.0
21/7/2007,08:51:00,1.206,0.064,235.13,5.0,17.0
6/12/2008,20:11:00,0.832,0.0,240.14,3.4,0.0
6/10/2008,04:34:00,1.31,0.0,239.65,5.4,18.0
22/7/2008,15:28:00,0.422,0.106,238.21,2.0,0.0
8/1/2008,00:33:00,1.314,0.05,243.07,5.4,18.0
29/7/2008,14:04:00,0.506,0.214,239.97,2.4,2.0
15/8/2007,19:29:00,0.286,0.24,240.88,1.4,0.0
13/5/2008,23:58:00,0.686,0.138,245.22,2.8,1.0
17/2/2010,10:03:00,1.436,0.05,240.92,6.0,19.0
30/8/2009,03:54:00,0.296,0.126,241.83,1.4,1.0
9/4/2010,11:23:00,1.458,0.204,240.25,6.0,19.0
7/5/2010,09:25:00,1.23,0.066,232.71,5.2,17.0
17/9/2008,10:03:00,1.202,0.0,238.81,5.0,19.0
11/7/2008,04:32:00,0.314,0.254,240.19,1.6,2.0
11/6/2010,01:37:00,0.258,0.07,241.68,1.2,1.0
10/6/2008,05:20:00,1.004,0.352,239.9,4.4,13.0
13/1/2008,23:08:00,0.222,0.0,242.89,1.0,0.0
24/8/2010,12:17:00,0.292,0.1,240.64,1.4,0.0
6/3/2008,15:29:00,1.288,0.0,243.69,5.2,0.0
18/6/2009,23:39:00,1.598,0.1,243.93,6.4,1.0
9/7/2009,18:39:00,0.396,0.238,242.46,2.0,1.0
4/7/2007,01:27:00,0.278,0.082,239.84,1.2,0.0
2/3/2008,13:28:00,0.236,0.0,239.91,1.0,0.0
23/7/2009,21:21:00,0.236,0.15,245.54,1.0,1.0
10/1/2008,05:44:00,0.402,0.0,246.37,1.8,0.0
6/9/2009,15:08:00,0.32,0.12,243.98,1.4,1.0
11/1/2010,10:15:00,1.476,0.086,244.08,6.0,19.0
16/4/2009,03:08:00,0.398,0.108,240.58,1.8,1.0
6/8/2009,15:24:00,0.138,0.0,243.35,0.6,1.0
23/11/2009,05:03:00,0.228,0.0,244.54,0.8,1.0
29/1/2008,22:33:00,3.044,0.07,240.21,12.8,11.0
19/3/2008,20:41:00,2.748,0.188,240.05,11.4,19.0
6/9/2008,04:32:00,0.242,0.112,239.67,1.0,1.0
10/6/2007,02:25:00,0.294,0.088,240.8,1.2,0.0
26/10/2010,20:04:00,0.434,0.202,243.66,2.0,0.0
25/10/2009,04:51:00,0.238,0.0,243.89,1.0,1.0
4/11/2010,08:56:00,2.624,0.0,241.29,10.8,37.0
18/10/2009,01:21:00,1.546,0.294,240.97,6.4,19.0
31/5/2007,20:23:00,1.268,0.194,236.61,5.4,0.0
27/1/2009,16:33:00,0.298,0.0,246.63,1.2,0.0
4/9/2007,18:13:00,1.624,0.34,238.71,7.0,19.0
22/10/2009,19:57:00,1.846,0.376,238.08,7.8,1.0
16/9/2008,18:21:00,0.342,0.0,239.04,1.6,2.0
3/10/2010,04:10:00,0.396,0.16,242.59,1.6,2.0
20/8/2009,13:41:00,0.288,0.222,242.0,1.4,2.0
20/1/2008,17:17:00,2.364,0.074,236.72,10.0,0.0
23/1/2007,00:03:00,1.664,0.098,242.41,6.8,0.0
14/3/2007,10:43:00,0.412,0.22,240.6,1.8,0.0
29/5/2009,14:27:00,0.408,0.234,242.98,1.8,3.0
1/8/2008,20:31:00,0.14,0.0,239.98,0.6,1.0
6/7/2010,05:40:00,0.162,0.0,241.25,0.8,1.0
9/12/2007,21:46:00,2.97,0.0,239.87,12.2,38.0
22/12/2009,19:10:00,2.62,0.074,244.15,10.6,18.0
14/4/2009,23:18:00,0.6,0.232,244.67,2.6,1.0
27/10/2007,06:22:00,0.408,0.0,244.41,2.0,0.0
29/12/2009,17:35:00,1.392,0.15,243.32,5.6,1.0
8/7/2009,12:37:00,0.19,0.0,243.16,0.8,1.0
14/3/2008,22:59:00,0.406,0.214,241.71,1.8,0.0
20/2/2008,19:39:00,5.532,0.588,235.35,24.0,46.0
18/2/2010,16:56:00,0.282,0.0,245.53,1.2,1.0
7/9/2010,15:50:00,0.494,0.062,241.57,2.6,5.0
1/1/2008,15:21:00,1.8,0.376,244.12,7.4,23.0
12/6/2008,04:45:00,0.376,0.248,240.51,1.8,3.0
21/1/2007,04:46:00,0.29,0.106,244.49,1.2,0.0
30/9/2007,07:17:00,2.476,0.168,238.91,10.4,18.0
18/9/2009,21:43:00,1.248,0.074,241.66,5.2,3.0
24/5/2007,04:47:00,0.206,0.052,235.7,0.8,0.0
14/7/2007,04:26:00,0.19,0.09,241.2,0.8,1.0
18/6/2007,07:46:00,1.176,0.0,241.15,4.8,18.0
24/12/2007,06:19:00,0.344,0.144,248.07,1.4,0.0
25/10/2010,10:55:00,1.478,0.196,239.86,6.2,20.0
31/7/2010,06:58:00,0.528,0.222,241.56,2.4,0.0
9/8/2009,10:36:00,0.14,0.0,243.97,0.6,1.0
22/3/2007,20:43:00,0.484,0.178,235.38,2.2,0.0
16/12/2006,20:27:00,3.258,0.076,234.57,13.8,17.0
15/6/2009,10:39:00,2.322,0.0,235.39,9.8,36.0
2/7/2010,08:51:00,0.288,0.088,240.59,1.4,0.0
16/7/2007,00:02:00,1.274,0.086,240.13,5.2,19.0
18/11/2009,14:02:00,1.53,0.202,244.25,6.2,19.0
20/9/2009,14:24:00,1.49,0.23,240.22,6.2,23.0
27/8/2009,10:08:00,0.25,0.15,241.73,1.2,1.0
27/4/2008,14:19:00,0.53,0.278,243.39,2.6,2.0
